utc,local,subdir,bytes,files,bytes_delta,files_delta,mb_per_s,files_per_s
2026-09-04T02:59:23Z,2026-09-03T19:59:23,.,712201412,10659,549858,24,0.009,0.4
2026-09-04T03:00:26Z,2026-09-03T20:00:26,src,415620398,5294,0,0,0,0
2026-09-04T03:00:26Z,2026-09-03T20:00:26,data,297077496,5388,521164,31,0.008,0.52
2026-09-04T03:00:26Z,2026-09-03T20:00:26,.,712720023,10690,518611,31,0.008,0.52
2026-09-04T03:01:29Z,2026-09-03T20:01:29,src,415620398,5294,0,0,0,0
2026-09-04T03:01:29Z,2026-09-03T20:01:29,data,297641774,5424,564278,36,0.009,0.6
2026-09-04T03:01:29Z,2026-09-03T20:01:29,.,713280205,10726,560182,36,0.009,0.6
2026-09-04T03:02:31Z,2026-09-03T20:02:31,src,415620398,5294,0,0,0,0
2026-09-04T03:02:31Z,2026-09-03T20:02:31,data,298143297,5462,501523,38,0.008,0.63
2026-09-04T03:02:31Z,2026-09-03T20:02:31,.,713777632,10764,497427,38,0.008,0.63
2026-09-04T03:03:34Z,2026-09-03T20:03:34,src,415620398,5294,0,0,0,0
2026-09-04T03:03:34Z,2026-09-03T20:03:34,data,298696938,5528,553641,66,0.009,1.1
2026-09-04T03:03:34Z,2026-09-03T20:03:34,.,714335369,10830,557737,66,0.009,1.1
2026-09-04T03:04:37Z,2026-09-03T20:04:37,src,415620398,5294,0,0,0,0
2026-09-04T03:04:37Z,2026-09-03T20:04:37,data,299181452,5549,484514,21,0.008,0.35
2026-09-04T03:04:37Z,2026-09-03T20:04:37,.,714819883,10851,484514,21,0.008,0.35
2026-09-04T03:05:40Z,2026-09-03T20:05:40,src,415620398,5294,0,0,0,0
2026-09-04T03:05:40Z,2026-09-03T20:05:40,data,299721526,5558,540074,9,0.009,0.15
2026-09-04T03:05:40Z,2026-09-03T20:05:40,.,715359957,10860,540074,9,0.009,0.15
2026-09-04T03:06:42Z,2026-09-03T20:06:42,src,415620398,5294,0,0,0,0
2026-09-04T03:06:42Z,2026-09-03T20:06:42,data,300229048,5574,507522,16,0.008,0.27
2026-09-04T03:06:42Z,2026-09-03T20:06:42,.,715863383,10876,503426,16,0.008,0.27
2026-09-04T03:07:45Z,2026-09-03T20:07:45,src,415620398,5294,0,0,0,0
2026-09-04T03:07:45Z,2026-09-03T20:07:45,data,300744309,5579,515261,5,0.008,0.08
2026-09-04T03:07:45Z,2026-09-03T20:07:45,.,716382740,10881,519357,5,0.008,0.08
2026-09-04T03:08:48Z,2026-09-03T20:08:48,src,415620398,5294,0,0,0,0
2026-09-04T03:08:48Z,2026-09-03T20:08:48,data,301225294,5584,480985,5,0.008,0.08
2026-09-04T03:08:48Z,2026-09-03T20:08:48,.,716863725,10886,480985,5,0.008,0.08
2026-09-04T03:09:50Z,2026-09-03T20:09:50,src,415620398,5294,0,0,0,0
2026-09-04T03:09:50Z,2026-09-03T20:09:50,data,301671673,5588,446379,4,0.007,0.07
2026-09-04T03:09:50Z,2026-09-03T20:09:50,.,717313128,10890,449403,4,0.007,0.07
2026-09-04T03:10:53Z,2026-09-03T20:10:53,src,415620398,5294,0,0,0,0
2026-09-04T03:10:53Z,2026-09-03T20:10:53,data,302162075,5633,490402,45,0.008,0.75
2026-09-04T03:10:53Z,2026-09-03T20:10:53,.,717800506,10935,487378,45,0.008,0.75
2026-09-04T03:11:56Z,2026-09-03T20:11:56,src,415620398,5294,0,0,0,0
2026-09-04T03:11:56Z,2026-09-03T20:11:56,data,302724740,5674,562665,41,0.009,0.68
2026-09-04T03:11:56Z,2026-09-03T20:11:56,.,718359075,10976,558569,41,0.009,0.68
2026-09-04T03:12:58Z,2026-09-03T20:12:58,src,415620398,5294,0,0,0,0
